guid,tag
8,negative
1576,positive
2320,positive
4912,negative
3821,positive
1306,positive
4555,positive
259,positive
3216,positive
881,negative
1037,negative
2463,positive
3760,negative
3102,positive
4074,negative
2155,negative
5009,positive
3292,positive
3599,positive
1061,negative
3927,positive
4461,positive
716,positive
2505,positive
1803,positive
2157,positive
1612,negative
4052,negative
3641,positive
5097,negative
2358,positive
349,positive
4710,negative
2991,negative
459,positive
1737,negative
1993,positive
116,negative
2949,positive
2792,negative
1580,positive
2021,positive
4843,positive
4827,negative
3119,positive
3298,positive
4541,positive
1952,positive
1839,positive
2127,positive
3872,positive
3023,positive
2351,positive
4507,positive
600,positive
1516,positive
4601,positive
1046,positive
1227,negative
4378,negative
4357,negative
4094,positive
5027,negative
1969,negative
4754,positive
861,negative
136,negative
4466,positive
4916,negative
1025,positive
4922,positive
1233,positive
1173,neutral
532,negative
51,positive
3008,positive
1578,negative
4945,positive
2572,negative
173,positive
3439,negative
755,negative
2918,positive
1417,negative
3152,negative
121,positive
780,negative
4319,negative
1191,positive
1573,negative
1406,positive
3955,positive
2904,positive
2721,positive
58,positive
3149,negative
3690,positive
3243,positive
3476,negative
1393,negative
3362,positive
1552,positive
2348,negative
1863,positive
3003,negative
1949,negative
2137,positive
4500,positive
2823,positive
1021,negative
3103,neutral
4981,positive
3110,positive
824,positive
1999,positive
1769,positive
4038,negative
2499,positive
4287,positive
4913,positive
3181,negative
4578,positive
1446,positive
1269,negative
2803,positive
1099,negative
96,positive
749,positive
489,negative
3464,positive
4910,positive
5000,negative
2717,positive
939,positive
4944,positive
4560,positive
4471,positive
313,positive
3002,positive
204,negative
4082,positive
960,positive
740,negative
31,positive
3324,positive
264,positive
1922,negative
3424,positive
1192,positive
4603,positive
570,positive
2668,positive
1645,positive
3271,positive
89,positive
3975,positive
3397,negative
3638,positive
1228,negative
2744,positive
4545,positive
730,negative
2958,negative
1717,positive
1324,positive
4312,negative
3374,positive
4430,positive
3945,positive
290,positive
4061,positive
1168,positive
1667,negative
3139,positive
964,positive
3495,positive
932,negative
4483,positive
3227,positive
5108,positive
1931,positive
5040,positive
3174,positive
1381,positive
2800,negative
4911,positive
1768,negative
4087,positive
1648,positive
3909,positive
4348,negative
3170,negative
3774,positive
3492,positive
1994,negative
2971,negative
5043,positive
4552,positive
4372,negative
1682,positive
4046,positive
4022,negative
174,positive
4387,positive
677,positive
1133,positive
429,positive
4040,positive
2114,negative
3998,positive
1020,positive
2676,positive
2367,negative
5037,positive
2863,positive
2988,negative
2746,positive
1431,positive
2550,positive
286,negative
739,negative
3348,positive
3948,positive
3224,positive
1096,positive
1584,positive
3660,positive
3898,positive
751,negative
3963,positive
3891,negative
312,positive
867,positive
3268,negative
1697,positive
1791,positive
3701,negative
2055,negative
3914,positive
3572,positive
1660,negative
2943,positive
424,positive
1285,negative
3039,positive
1642,positive
1111,positive
1539,positive
3401,positive
2098,positive
3400,positive
4345,positive
1352,negative
4681,positive
3005,positive
2362,negative
2154,positive
1512,positive
2677,positive
848,positive
1243,negative
3637,negative
1990,positive
2627,positive
948,positive
5039,positive
1587,negative
55,positive
4738,positive
4205,positive
3494,negative
2758,positive
479,positive
1898,positive
3046,positive
1088,positive
1039,positive
1875,negative
1100,negative
224,negative
2585,positive
2888,negative
1309,positive
4693,positive
3651,positive
383,negative
1057,positive
2607,negative
3306,positive
310,positive
2646,positive
1490,negative
4860,positive
1606,positive
3554,positive
3580,neutral
4947,negative
3889,negative
5,positive
2704,negative
3346,positive
2480,positive
3842,negative
4807,negative
3001,positive
4715,positive
4410,positive
1290,positive
4644,positive
4294,positive
4847,positive
2750,positive
1861,positive
4272,negative
617,positive
1574,positive
2332,positive
1974,positive
3399,negative
3714,positive
5092,positive
2709,positive
1435,negative
4449,positive
2939,positive
1429,negative
145,positive
250,negative
4871,negative
1868,positive
1508,positive
4811,negative
3222,negative
566,negative
558,positive
38,positive
533,positive
2527,negative
2078,positive
3731,positive
124,neutral
4774,positive
967,negative
3016,positive
2911,negative
4613,positive
4201,positive
4877,positive
4306,positive
3671,positive
4255,positive
1105,negative
1806,positive
3061,positive
1830,positive
3417,positive
60,negative
1933,positive
3022,positive
2635,positive
2815,positive
1301,negative
575,positive
4925,positive
4112,positive
5127,positive
4795,positive
334,positive
3126,positive
912,positive
3969,positive
3451,negative
3336,positive
923,positive
2737,positive
2443,positive
1312,negative
3505,positive
2764,positive
4580,negative
3854,neutral
2570,positive
2989,positive
2115,neutral
3462,positive
1699,positive
4898,positive
4138,negative
1866,negative
2915,positive
1635,positive
1908,positive
4030,negative
4771,positive
3248,positive
494,positive
3161,negative
20,positive
3300,positive
4242,negative
1476,positive
1879,negative
1384,positive
1616,positive
4376,positive
3884,negative
2026,positive
4291,positive
4790,negative
657,positive
2873,negative
812,positive
2893,positive
3296,positive
126,positive
2469,negative
3206,negative
2019,positive
916,positive
4621,positive
1620,positive
184,positive
5017,positive
1201,negative
5111,positive
4417,positive
4431,negative
4434,positive
4920,positive
272,positive
279,positive
3020,positive
2325,positive
2858,positive
4288,positive
1596,negative
803,positive
4363,negative
1895,positive
3044,positive
4721,positive
698,positive
1426,positive
2016,positive
3745,positive
4903,positive
534,positive
3650,positive
3371,negative
112,positive
176,positive
573,positive
4919,positive
3276,positive
480,positive
87,positive
911,negative
3705,positive
3082,negative
2537,positive
4450,positive
1497,positive
3083,positive
443,positive
2957,negative
2099,positive
2962,positive
460,positive
1918,positive
3052,positive
13,positive
863,negative
1252,negative
3570,positive
4684,positive
2046,positive
1537,positive
2555,positive
1052,positive
1713,negative
2597,negative
282,positive
3833,negative
4885,negative
4587,positive
1401,positive
1281,positive
2085,negative
565,positive
1205,positive
1560,positive
4064,positive
1036,negative
2606,negative
4777,positive
588,negative
609,positive
3279,negative
3511,negative
4796,negative
2107,positive
1106,positive
3395,positive
2546,negative
4678,positive
1000,positive
1048,positive
1059,positive
1485,positive
3195,positive
2029,positive
